,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
6188,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,737
6191,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,1,358
6192,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,1,1723
6193,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,199
6195,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving at high speed,2,2419
6196,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,2,2418
6197,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Other,Changing lane to the right,2,4
6201,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,445
6202,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,218
6203,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,214
6204,Unknown,Female,Below 1yr,Gravel roads,Dry,Daylight,Normal,Driving carelessly,2,209
6205,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,318
6206,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,1545
6207,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1035
6208,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1037
6211,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,1016
6219,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3758
6221,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Overtaking,2,537
6222,Unknown,Female,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3158
6223,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,3159
6224,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,413
6230,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,111
6231,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,1398
6232,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1397
6234,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,149
6242,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overloading,2,2941
6243,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,621
6244,Unknown,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Improper parking,2,622
6246,Unknown,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2938
6247,Unknown,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2939
6248,Unknown,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2940
6250,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,2,121
6251,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,2667
6257,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Other,2,3427
6258,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3648
6259,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2101
6260,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2100
6262,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,8
6263,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3054
6264,Under 18,Unknown,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,330
6268,Unknown,Unknown,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,87
6269,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2516
6271,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,3229
6275,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Overtaking,2,1648
6276,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,235
6277,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,232
6281,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,1774
6282,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,1776
6284,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving at high speed,2,2932
6285,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Unknown,2,3629
6287,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3819
6291,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,2,3646
6293,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1584
6297,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,144
6301,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Overturning,2,3699
6302,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2031
6308,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,461
6311,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3245
6315,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,3224
6316,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,3225
6317,Under 18,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,729
6318,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,3509
6322,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,180
6328,Over 51,Male,5-10yrs,Earth roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,3227
6330,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,677
6331,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Other,2,3228
6332,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Other,2,3624
6339,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,1,2624
6341,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2625
6342,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,116
6344,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,403
6345,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,48
6347,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1339
6359,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,28
6361,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,655
6367,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2081
6368,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,85
6369,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,2082
6371,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3389
6379,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,1644
6382,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,154
6397,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,42
6400,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,3080
6401,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,340
6402,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1645
6403,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,336
6404,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1646
6405,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,900
6406,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,265
6407,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,2501
6418,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2282
6425,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Turnover,2,3489
6428,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2859
6429,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,602
6435,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,1183
6438,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,820
6440,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,175
6442,31-50,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Moving Backward,1,735
6451,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,1831
6452,Unknown,Male,2-5yrs,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,No distancing,2,2533
6454,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,85
6455,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,84
6457,Under 18,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2905
6458,Under 18,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2901
6459,Unknown,Female,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,3019
6460,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,3021
6461,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3020
6462,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,135
6463,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,637
6464,Unknown,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,3476
6465,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,3478
6466,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,720
6468,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Changing lane to the right,2,2712
6469,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1057
6470,Under 18,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,44
6473,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1984
6476,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Turnover,2,16
6477,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,15
6478,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,226
6480,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,1128
6483,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,254
6484,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1226
6485,Over 51,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3052
6486,Over 51,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,644
6488,Unknown,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,1576
6494,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3036
6517,18-30,Male,5-10yrs,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,2900
6518,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,2897
6527,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,608
6529,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3396
6537,31-50,Male,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,1,764
6538,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1457
6540,Unknown,Female,Unknown,Earth roads,Dry,Daylight,Normal,Driving carelessly,2,3809
6578,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,138
6579,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,784
6585,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,312
6586,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,266
6587,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2423
6588,31-50,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Changing lane to the left,2,2421
6593,Unknown,Female,Above 10yr,Earth roads,Dry,Daylight,Unknown,No priority to vehicle,2,660
6597,18-30,Male,1-2yr,Gravel roads,Dry,Daylight,Normal,Driving carelessly,2,381
6600,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,383
6603,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,3072
6604,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,3070
6610,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1851
6612,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3581
6617,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,1,3094
6619,31-50,Male,Above 10yr,Earth roads,Dry,Daylight,Normal,No priority to vehicle,2,1353
6622,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,201
6624,18-30,Male,Unknown,Other,Dry,Daylight,Normal,Changing lane to the right,2,2247
6625,Over 51,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,968
6626,18-30,Male,Unknown,Gravel roads,Dry,Daylight,Normal,Driving carelessly,1,972
6627,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Other,No distancing,2,188
6629,Unknown,Female,5-10yrs,Earth roads,Dry,Daylight,Normal,No priority to vehicle,2,1791
6630,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1790
6639,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2999
6641,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3001
6642,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2209
6643,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,465
6647,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,1,474
6648,Under 18,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,475
6654,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1865
6655,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,1088
6657,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1087
6660,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,138
6672,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,7
6673,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,8
6674,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,53
6675,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,47
6676,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,46
6677,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,21
6678,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,19
6679,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,63
6680,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,11
6683,18-30,Male,1-2yr,Earth roads,Dry,Daylight,Normal,No distancing,2,120
6684,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,44
6689,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,10
6690,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,62
6691,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,28
6698,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1573
6700,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,297
6701,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,2710
6702,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,571
6706,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Other,Changing lane to the right,2,181
6707,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,928
6708,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1031
6709,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,1030
6710,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,113
6711,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,2586
6712,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,635
6713,18-30,Male,Unknown,Other,Dry,Darkness - lights lit,Normal,Overtaking,2,3009
6714,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,133
6715,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3007
6716,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,2800
6717,Unknown,Female,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2802
6720,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,780
6721,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3848
6722,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Other,Driving at high speed,2,2834
6723,Unknown,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Other,Changing lane to the right,2,599
6724,Unknown,Male,2-5yrs,Earth roads,Dry,Daylight,Normal,No priority to vehicle,1,320
6725,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1572
6728,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,41
6729,Under 18,Male,Unknown,Earth roads,Dry,Darkness - lights lit,Normal,No distancing,2,8
6731,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,2612
6733,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2608
6736,Unknown,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,576
6738,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,370
6739,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,82
6740,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,83
6741,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,1868
6742,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,76
6743,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1869
6744,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1795
6745,31-50,Male,1-2yr,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,2978
6746,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2976
6748,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3798
6749,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3796
6750,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,3797
6751,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,604
6753,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,2,1418
6756,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,187
6757,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,1760
6759,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,Driving under the influence of drugs,2,1759
6760,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,3038
6761,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,3039
6762,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1303
6763,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,267
6766,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,2,1306
6767,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1313
6768,Unknown,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Other,Driving carelessly,2,2379
6770,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,245
6771,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3304
6772,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,147
6773,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,865
6774,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,869
6775,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,866
6776,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,437
6777,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2106
6778,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,483
6779,Unknown,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,947
6780,18-30,Male,2-5yrs,Gravel roads,Dry,Daylight,Normal,No distancing,2,200
6781,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1167
6782,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,1165
6783,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3207
6784,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Drunk driving,2,3206
6785,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Moving Backward,2,56
6786,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,1312
6793,31-50,Male,Unknown,Earth roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,3100
6796,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2596
6797,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,0,289
6798,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,0,2606
6799,31-50,Male,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,0,2605
6800,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,353
6801,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,352
6802,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,351
6803,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,680
6804,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1252
6805,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overturning,2,1253
6806,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1451
6807,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1452
6808,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,428
6809,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,429
6810,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,51
6811,31-50,Male,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,2,695
6812,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,2,3362
6813,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3171
6819,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2572
6823,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2574
6824,Unknown,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,2,2573
6826,18-30,Male,Unknown,Earth roads,Dry,Daylight,Normal,Changing lane to the right,2,278
6828,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,291
6829,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1561
